"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"11512","73","COMPARTMENTS","","Intracellular","1.1E-4","ABCD1|ACP5|ABHD11|ACTA2|ACOT13|AADAC|ACADL|ACOT2|ACTR5|ABHD17A|ACTN4|ACSBG1|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ACP1|ABCA12|ABT1|ABLIM1|AASDHPPT|ACAD8|ABCA6|ACAA2|ACE|ACOX1|ABHD6|ABCE1|ABCB8|ABCA3|ACHE|ACOT1|ABCF1|A2M|ACAA1|ACSL4|ACVR2B|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ACTR1A|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|ACY1|AAK1|ACTG2|ACE2|ACTL6A|AAMP|AASS|ACSL1|ABLIM3|ABCB9|ACSS3|ACTG1|ACP6|ACLY|ABCA8|AATF|ABCB1|ACTB|ABHD5|ABCG2|ACSL6","85041","85151|85301|85244|85130|85286|85181|85289|85310|85361|85292|85160|85367|85226|85223|85364|85169|85376|85145|85208|85148|85265|85358|85157|85325|85214|85298|85220|85262|85268|85274|85241|85154|85337|85343|85370|85133|85385|85175|85229|85349|85259|85319|85196|85373|85205|85382|85328|85163|85340|85334|85178|85316|85235|85277|85256|85271|85238|85172|85217|85355|85331|85142|85247|85202|85199|85253|85313|85190|85352|85346|85283|85280|85232","1.25E-7","","GOCC:0005622","0.3958607314841775","0"
"131","8","COMPARTMENTS","","Peroxisome","1.1E-4","ABCD1|ACOT2|ACOX1|ACAA1|ACOX3|ABCD4|ACSL3|ACSL1","85041","85151|85310|85220|85133|85349|85259|85319|85355","1.62E-7","","GOCC:0005777","0.3958607314841775","0"
"10113","68","COMPARTMENTS","","Organelle","1.1E-4","ABCD1|ACP5|ABHD11|ACTA2|ACOT13|AADAC|ACADL|ACOT2|ACTR5|ABHD17A|ACTN4|ACSBG1|ACTR3|ABCB6|ABCB4|ACAT1|ABHD2|ABCA12|ABLIM1|AASDHPPT|ACAD8|ABCA6|ACAA2|ACE|ACOX1|ABHD6|ABCE1|ABCB8|ABCA3|ACHE|ABCF1|A2M|ACAA1|ACSL4|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ACTR1A|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|ACY1|AAK1|ACTG2|ACE2|ACTL6A|AASS|ACSL1|ABLIM3|ABCB9|ACSS3|ACTG1|ACP6|ACLY|ABCA8|AATF|ABCB1|ACTB|ABHD5|ABCG2|ACSL6","85041","85151|85301|85244|85130|85286|85181|85289|85310|85361|85292|85160|85367|85223|85364|85169|85376|85250|85208|85265|85358|85157|85325|85214|85298|85220|85262|85268|85274|85241|85154|85343|85370|85133|85385|85229|85349|85259|85319|85196|85373|85205|85382|85328|85163|85340|85334|85178|85316|85235|85277|85256|85271|85238|85217|85355|85331|85142|85247|85202|85199|85253|85313|85190|85352|85346|85283|85280|85232","1.06E-7","","GOCC:0043226","0.3958607314841775","0"
"9083","64","COMPARTMENTS","","Membrane-bounded organelle","1.1E-4","ABCD1|ACP5|ABHD11|ACTA2|ACOT13|AADAC|ACADL|ACOT2|ACTR5|ABHD17A|ACTN4|ACSBG1|ACTR3|ABCB6|ABCB4|ACAT1|ABHD2|ABCA12|AASDHPPT|ACAD8|ABCA6|ACAA2|ACE|ACOX1|ABHD6|ABCE1|ABCB8|ABCA3|ACHE|ABCF1|A2M|ACAA1|ACSL4|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|ACY1|AAK1|ACE2|ACTL6A|AASS|ACSL1|ABCB9|ACSS3|ACTG1|ACP6|ACLY|ABCA8|AATF|ABCB1|ACTB|ABHD5|ABCG2|ACSL6","85041","85151|85301|85244|85130|85286|85181|85289|85310|85361|85292|85160|85367|85223|85364|85169|85376|85250|85208|85358|85157|85325|85214|85298|85220|85262|85268|85274|85241|85154|85343|85370|85133|85385|85229|85349|85259|85319|85196|85373|85205|85328|85163|85340|85334|85178|85316|85235|85277|85271|85238|85217|85355|85142|85247|85202|85199|85253|85313|85190|85352|85346|85283|85280|85232","9.49E-8","","GOCC:0043227","0.3958607314841775","0"
"9609","65","COMPARTMENTS","","Intracellular organelle","1.1E-4","ABCD1|ACP5|ABHD11|ACTA2|ACOT13|AADAC|ACADL|ACOT2|ACTR5|ABHD17A|ACTN4|ACSBG1|ACTR3|ABCB6|ABCB4|ACAT1|ABCA12|ABLIM1|ACAD8|ABCA6|ACAA2|ACE|ACOX1|ABHD6|ABCE1|ABCB8|ABCA3|ACHE|ABCF1|A2M|ACAA1|ACSL4|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ACTR1A|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|AAK1|ACTG2|ACE2|ACTL6A|AASS|ACSL1|ABLIM3|ABCB9|ACSS3|ACTG1|ACP6|ACLY|ABCA8|AATF|ABCB1|ACTB|ABHD5|ABCG2|ACSL6","85041","85151|85301|85244|85130|85286|85181|85289|85310|85361|85292|85160|85367|85223|85364|85169|85376|85208|85265|85157|85325|85214|85298|85220|85262|85268|85274|85241|85154|85343|85370|85133|85385|85229|85349|85259|85319|85196|85373|85205|85382|85328|85163|85340|85334|85178|85316|85277|85256|85271|85238|85217|85355|85331|85142|85247|85202|85199|85253|85313|85190|85352|85346|85283|85280|85232","3.71E-7","","GOCC:0043229","0.3958607314841775","0"
"28","5","COMPARTMENTS","","ATPase dependent transmembrane transport complex","1.1E-4","ABCC9|ABCB6|ABCB8|ABCD4|ABCB1","85041","85166|85364|85274|85259|85352","2.97E-7","","GOCC:0098533","0.3958607314841775","0"
"446","12","GO Biological Process","","Small molecule biosynthetic process","1.2E-4","ABCD1|ACSBG1|ABHD2|AASDHPPT|ACAA2|AACS|ACSM5|ACACB|ACOT7|AASS|ACSS3|ACLY","85041","85151|85367|85250|85358|85214|85304|85295|85229|85178|85217|85247|85253","6.65E-7","","GO:0044283","0.39208187539523753","0"
"15","4","GO Molecular Function","","Activin binding","1.2E-4","ACVR2B|ACVRL1|ACVR1|ACVR1B","85041","85175|85322|85184|85211","1.23E-6","","GO:0048185","0.39208187539523753","0"
"17","4","WikiPathways","","Mitochondrial long chain fatty acid beta-oxidation","1.2E-4","ACADL|ACSL4|ACSL3|ACSL1","85041","85289|85385|85319|85355","1.88E-6","","WP368","0.39208187539523753","0"
"536","13","GO Biological Process","","Amide biosynthetic process","1.3E-4","ACSBG1|AARS1|ACAT1|ABCE1|ABCF1|ACSL4|ACACB|ACSL3|AARSD1|ACSL1|ACLY|ABCA8|ACSL6","85041","85367|85226|85376|85268|85343|85385|85229|85319|85187|85355|85253|85313|85232","6.85E-7","","GO:0043604","0.3886056647693163","0"
"13","4","Reactome Pathways","","Alpha-linolenic acid (ALA) metabolism","1.4E-4","ABCD1|ACOX1|ACAA1|ACSL1","85041","85151|85220|85133|85355","7.58E-7","","HSA-2046106","0.38538719643217617","0"
"1182","19","COMPARTMENTS","","Mitochondrion","1.5E-4","ABCD1|ABHD11|ACADL|ACOT2|ABCB6|ACAT1|ACAD8|ACAA2|ABCE1|ABCB8|ACSL4|ACACB|ACSL3|ABCG1|ACOT11|AASS|ACSL1|ACSS3|ACP6","85041","85151|85244|85289|85310|85364|85376|85157|85214|85268|85274|85385|85229|85319|85196|85163|85217|85355|85247|85199","7.33E-7","","GOCC:0005739","0.38239087409443184","0"
"363","11","COMPARTMENTS","","Actin cytoskeleton","1.5E-4","ACTN4|ACTR3|ABCB4|ABLIM1|ACE|ACTN2|ACTR1A|ACTR2|ABLIM3|ACTG1|ACTB","85041","85160|85223|85169|85265|85298|85373|85382|85316|85331|85202|85346","6.55E-7","","GOCC:0015629","0.38239087409443184","0"
"12","4","COMPARTMENTS","","ATP-binding cassette (ABC) transporter complex","1.5E-4","ABCB6|ABCB8|ABCD4|ABCB1","85041","85364|85274|85259|85352","5.82E-7","","GOCC:0043190","0.38239087409443184","0"
"14060","80","COMPARTMENTS","","Cellular anatomical entity","1.5E-4","ABCC6|ABCD1|ACP5|ABHD11|ACTA2|ACOT13|AADAC|ACADL|ACOT2|ACTR5|ACKR4|ABHD17A|ACTN4|ACSBG1|ABCC9|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ABHD2|ACP1|ABCA12|ABLIM1|AASDHPPT|ACAD8|ABCA6|ACAA2|ABCC3|ACE|ACOX1|ABHD6|ABCE1|ABCB8|ABCA3|ACHE|ACOT1|ABCF1|A2M|ACAA1|ACSL4|ACVR2B|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ACTR1A|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|ACVRL1|ACY1|AAK1|ACTG2|ACE2|ACTL6A|AAMP|AASS|ACVR1|ACSL1|ABLIM3|ABCB9|ACVR1B|ACSS3|ACTG1|ACP6|ACLY|ABCA8|AATF|ABCB1|ACTB|ABHD5|ABCG2|ACSL6","85041","85193|85151|85301|85244|85130|85286|85181|85289|85310|85361|85139|85292|85160|85367|85166|85226|85223|85364|85169|85376|85250|85145|85208|85265|85358|85157|85325|85214|85307|85298|85220|85262|85268|85274|85241|85154|85337|85343|85370|85133|85385|85175|85229|85349|85259|85319|85196|85373|85205|85382|85328|85163|85340|85334|85178|85316|85322|85235|85277|85256|85271|85238|85172|85217|85184|85355|85331|85142|85211|85247|85202|85199|85253|85313|85190|85352|85346|85283|85280|85232","6.31E-7","","GOCC:0110165","0.38239087409443184","0"
"29","5","InterPro Domains","","Alpha/beta hydrolase fold-1","1.5E-4","ABHD11|ABHD2|ABHD6|ABHD14A-ACY1|ABHD5","85041","85244|85250|85262|85136|85283","3.48E-7","","IPR000073","0.38239087409443184","0"
"2438","28","GO Biological Process","","Organic substance biosynthetic process","1.7E-4","ABCD1|ACSBG1|AARS1|ABCB6|ACAT1|ABHD2|ABT1|AASDHPPT|ACAA2|ABCE1|ABCF1|AACS|ACSM5|ACSL4|ACACB|ACSL3|ABCA1|ACOT7|AARSD1|AASS|ACSL1|ABLIM3|ACSS3|ACP6|ACLY|ABCA8|ABHD5|ACSL6","85041","85151|85367|85226|85364|85376|85250|85148|85358|85214|85268|85343|85304|85295|85385|85229|85319|85334|85178|85187|85217|85355|85331|85247|85199|85253|85313|85283|85232","9.27E-7","","GO:1901576","0.37695510786217257","0"
"25","4","KEGG Pathways","","Fatty acid elongation","2.0E-4","ACOT2|ACAA2|ACOT1|ACOT7","85041","85310|85214|85337|85178","7.27E-6","","hsa00062","0.36989700043360185","0"
"48","5","WikiPathways","","Oxysterols derived from cholesterol","2.0E-4","ACOT13|ACOT2|ACOT1|ACOT11|ACOT7","85041","85286|85310|85337|85163|85178","3.36E-6","","WP4545","0.36989700043360185","0"
"119","7","GO Biological Process","","Fatty acid biosynthetic process","2.2E-4","ABCD1|ACSBG1|ABHD2|ACSM5|ACACB|ACOT7|ACLY","85041","85151|85367|85250|85295|85229|85178|85253","1.27E-6","","GO:0006633","0.3657577319177794","0"
"12","4","InterPro Domains","","Ser/Thr protein kinase, TGFB receptor","2.3E-4","ACVR2B|ACVRL1|ACVR1|ACVR1B","85041","85175|85322|85184|85211","5.82E-7","","IPR000333","0.36382721639824067","0"
"4","3","GO Molecular Function","","palmitoyl-CoA oxidase activity","2.5E-4","ACADL|ACOX1|ACAA1","85041","85289|85220|85133","2.74E-6","","GO:0016401","0.3602059991327963","0"
