"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"15","4","InterPro Domains","","Acyl-CoA dehydrogenase-like, C-terminal","4.4E-4","ACADL|ACAD8|ACOX1|ACOX3","85041","85289|85157|85220|85349","1.23E-6","","IPR036250","0.33565473235138127","0"
"15","4","InterPro Domains","","Acyl-CoA oxidase/dehydrogenase, middle domain superfamily","4.4E-4","ACADL|ACAD8|ACOX1|ACOX3","85041","85289|85157|85220|85349","1.23E-6","","IPR046373","0.33565473235138127","0"
"6403","50","TISSUES","","Endocrine gland","4.7E-4","ABCC6|ABCD1|ACTA2|ACOT13|AADAC|ACADL|ACTN4|ACSBG1|AARS1|ACTR3|ABCB4|ACAT1|ABHD2|ABCA12|ABLIM1|AASDHPPT|ABCA6|ACAA2|ABCC3|ACE|ACOX1|ABCF1|A2M|AACS|ACSM5|ACAA1|ACSL4|ACACB|ACOX3|ACSL3|ACTR1A|ACOT11|ABCA1|ACTR2|ACY1|ACTG2|ACE2|ACTL6A|AAMP|AASS|ACSL1|ACVR1B|ACSS3|ACTG1|ACLY|ABCA8|AATF|ACTB|ABCG2|ACSL6","85041","85193|85151|85130|85286|85181|85289|85160|85367|85226|85223|85169|85376|85250|85208|85265|85358|85325|85214|85307|85298|85220|85343|85370|85304|85295|85133|85385|85229|85349|85319|85382|85163|85334|85316|85235|85256|85271|85238|85172|85217|85355|85211|85247|85202|85253|85313|85190|85346|85280|85232","9.61E-7","","BTO:0001488","0.33279021420642824","0"
"8162","57","COMPARTMENTS","","Intracellular membrane-bounded organelle","5.4E-4","ABCD1|ACP5|ABHD11|ACOT13|AADAC|ACADL|ACOT2|ACTR5|ABHD17A|ACTN4|ACSBG1|ACTR3|ABCB6|ABCB4|ACAT1|ABCA12|ACAD8|ABCA6|ACAA2|ACE|ACOX1|ABCE1|ABCB8|ABCA3|ACHE|ABCF1|A2M|ACAA1|ACSL4|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|AAK1|ACE2|ACTL6A|AASS|ACSL1|ABCB9|ACSS3|ACP6|ACLY|ABCA8|AATF|ABCB1|ACTB|ABCG2|ACSL6","85041","85151|85301|85244|85286|85181|85289|85310|85361|85292|85160|85367|85223|85364|85169|85376|85208|85157|85325|85214|85298|85220|85268|85274|85241|85154|85343|85370|85133|85385|85229|85349|85259|85319|85196|85373|85205|85328|85163|85340|85334|85178|85316|85277|85271|85238|85217|85355|85142|85247|85199|85253|85313|85190|85352|85346|85280|85232","3.06E-6","","GOCC:0043231","0.3267606240177031","0"
"6643","50","GO Biological Process","","Nitrogen compound metabolic process","5.4E-4","ABCC6|ABCD1|ACP5|ACADL|ACOT2|ACTR5|ABHD17A|ACSBG1|AARS1|ABCB6|ACAT1|ACP1|ABCA12|ABT1|AASDHPPT|ACAD8|ACE|ABCE1|ABCA3|ACHE|ACOT1|ABCF1|ACSM5|ACSL4|ACVR2B|ACACB|ABCD4|ACSL3|ABCG1|ACOT11|ABCA1|ACOT7|ACVRL1|ACY1|AAK1|ACE2|ACTL6A|AARSD1|AASS|ACVR1|ACSL1|ABLIM3|ABCB9|ACVR1B|ACLY|ABCA8|ABHD14A-ACY1|ACTB|ABHD5|ACSL6","85041","85193|85151|85301|85289|85310|85361|85292|85367|85226|85364|85376|85145|85208|85148|85358|85157|85298|85268|85241|85154|85337|85343|85295|85385|85175|85229|85259|85319|85196|85163|85334|85178|85322|85235|85277|85271|85238|85187|85217|85184|85355|85331|85142|85211|85253|85313|85136|85346|85283|85232","3.21E-6","","GO:0006807","0.3267606240177031","0"
"6","3","GO Molecular Function","","acetyl-CoA C-acetyltransferase activity","5.5E-4","ACAT1|ACAA2|ACAA1","85041","85376|85214|85133","6.54E-6","","GO:0003985","0.32596373105057563","0"
"578","12","UniProt Keywords","","Magnesium","5.5E-4","AASDHPPT|ACSM5|ACSL4|ACVR2B|ACACB|ACSL3|ACVRL1|ACVR1|ACSL1|ACVR1B|ACLY|ACSL6","85041","85358|85295|85385|85175|85229|85319|85322|85184|85355|85211|85253|85232","9.05E-6","","KW-0460","0.32596373105057563","0"
"269","9","GO Biological Process","","Carboxylic acid biosynthetic process","5.6E-4","ABCD1|ACSBG1|ABHD2|AASDHPPT|ACSM5|ACACB|ACOT7|AASS|ACLY","85041","85151|85367|85250|85358|85295|85229|85178|85217|85253","3.35E-6","","GO:0046394","0.32518119729938","0"
"56","5","GO Molecular Function","","Sulfur compound transmembrane transporter activity","5.6E-4","ABCC6|ABCD1|ABCC3|ABCC10|ABCG2","85041","85193|85151|85307|85340|85280","6.78E-6","","GO:1901682","0.32518119729938","0"
"142","7","GO Biological Process","","Amide transport","6.4E-4","ABCD1|ABCA12|ACVR2B|ABCA1|ABCB9|ABCB1|ABCG2","85041","85151|85208|85175|85334|85142|85352|85280","3.9E-6","","GO:0042886","0.3193820026016113","0"
"111","6","WikiPathways","","Cholesterol biosynthesis pathway in hepatocytes","6.7E-4","ACOT2|ACOT1|ACSL3|ABCG1|ABCA1|ACSL1","85041","85310|85337|85319|85196|85334|85355","1.2E-5","","WP5329","0.31739251972991733","0"
"278","9","GO Biological Process","","Organic acid transport","6.9E-4","ABCD1|ABCC3|ACE|ABCD4|ACSL3|ACE2|ACSL1|ABCB1|ABCG2","85041","85151|85307|85298|85259|85319|85271|85355|85352|85280","4.35E-6","","GO:0015849","0.3161150909262745","0"
"3463","33","GO Biological Process","","Cellular nitrogen compound metabolic process","7.0E-4","ABCC6|ABCD1|ACP5|ACADL|ACOT2|ACTR5|ACSBG1|AARS1|ABCB6|ACAT1|ABCA12|ABT1|AASDHPPT|ACE|ABCE1|ACOT1|ABCF1|ACSM5|ACSL4|ACACB|ACSL3|ACOT11|ACOT7|ACE2|ACTL6A|AARSD1|AASS|ACSL1|ABLIM3|ABCB9|ACLY|ABCA8|ACSL6","85041","85193|85151|85301|85289|85310|85361|85367|85226|85364|85376|85208|85148|85358|85298|85268|85337|85343|85295|85385|85229|85319|85163|85178|85271|85238|85187|85217|85355|85331|85142|85253|85313|85232","4.43E-6","","GO:0034641","0.3154901959985743","0"
"15","4","Pfam","","Acyl-CoA dehydrogenase, middle domain","7.1E-4","ACADL|ACAD8|ACOX1|ACOX3","85041","85289|85157|85220|85349","1.23E-6","","PF02770","0.31487416512809246","0"
"146","7","GO Biological Process","","Regulation of cold-induced thermogenesis","7.2E-4","ACOT13|ACADL|ABHD6|ACHE|ACVR2B|ACOT11|ACSL1","85041","85286|85289|85262|85154|85175|85163|85355","4.64E-6","","GO:0120161","0.3142667503568731","0"
"7","3","GO Molecular Function","","Phosphatidylethanolamine flippase activity","7.5E-4","ABCB4|ABCA4|ABCB1","85041","85169|85328|85352","9.31E-6","","GO:0090555","0.31249387366083","0"
"61","5","GO Molecular Function","","Oxidoreductase activity, acting on the CH-CH group of donors","7.7E-4","ACADL|ACAD8|ACOX1|ACAA1|ACOX3","85041","85289|85157|85220|85133|85349","1.0E-5","","GO:0016627","0.31135092748275184","0"
"1763","22","GO Biological Process","","Regulation of transport","8.2E-4","ACTN4|ABCC9|ABCB4|ABCA12|ACAA2|ACE|ABCA3|ACHE|AACS|ACSL4|ACSL3|ABCG1|ACTN2|ABCA1|AAK1|ACE2|ACSL1|ABLIM3|ACTG1|ABCA8|ABCB1|ACTB","85041","85160|85166|85169|85208|85214|85298|85241|85154|85304|85385|85319|85196|85373|85334|85277|85271|85355|85331|85202|85313|85352|85346","5.36E-6","","GO:0051049","0.30861861476162833","0"
"5715","45","COMPARTMENTS","","Membrane","8.4E-4","ABCC6|ABCD1|ACP5|AADAC|ACKR4|ABHD17A|ACSBG1|ABCC9|ABCB6|ABCB4|ABHD2|ACP1|ABCA12|ABCA6|ABCC3|ACE|ACOX1|ABHD6|ABCB8|ABCA3|ACHE|ACSL4|ACVR2B|ACACB|ABCD4|ACSL3|ABCG1|ACKR1|ABCA4|ABCC10|ABCA1|ACVRL1|AAK1|ACE2|AAMP|ACVR1|ACSL1|ABCB9|ACVR1B|ACLY|ABCA8|ABCB1|ACTB|ABCG2|ACSL6","85041","85193|85151|85301|85181|85139|85292|85367|85166|85364|85169|85250|85145|85208|85325|85307|85298|85220|85262|85274|85241|85154|85385|85175|85229|85259|85319|85196|85205|85328|85340|85334|85322|85277|85271|85172|85184|85355|85142|85211|85253|85313|85352|85346|85280|85232","5.13E-6","","GOCC:0016020","0.3075720713938118","0"
"551","12","GO Biological Process","","Organophosphate biosynthetic process","8.6E-4","ACSBG1|ACAT1|ACSL4|ACACB|ACSL3|ACOT7|ACSL1|ACP6|ACLY|ABCA8|ABHD5|ACSL6","85041","85367|85376|85385|85229|85319|85178|85355|85199|85253|85313|85283|85232","5.64E-6","","GO:0090407","0.3065501548756432","0"
"19","4","InterPro Domains","","AMP-binding enzyme, C-terminal domain","8.6E-4","ACSM5|ACSL1|ACSS3|ACSL6","85041","85295|85355|85247|85232","2.77E-6","","IPR025110","0.3065501548756432","0"
"9","3","WikiPathways","","Mitochondrial beta-oxidation","8.8E-4","ACADL|ACAA2|ACSL3","85041","85289|85214|85319","1.7E-5","","WP5241","0.30555173278498315","0"
"3860","35","COMPARTMENTS","","Cell periphery","9.2E-4","ABCC6|ACKR4|ABHD17A|ACTN4|ACSBG1|ABCC9|ABCB6|ABCB4|ABHD2|ACP1|ABCA6|ABCC3|ACE|ABCB8|ACHE|ACSL4|ACVR2B|ABCD4|ABCG1|ACTN2|ACKR1|ACTR1A|ABCC10|ABCA1|ACTR2|ACVRL1|AAK1|ACE2|AAMP|ACVR1|ACVR1B|ABCA8|ABCB1|ABCG2|ACSL6","85041","85193|85139|85292|85160|85367|85166|85364|85169|85250|85145|85325|85307|85298|85274|85154|85385|85175|85259|85196|85373|85205|85382|85340|85334|85316|85322|85277|85271|85172|85184|85211|85313|85352|85280|85232","5.99E-6","","GOCC:0071944","0.3036212172654445","0"
"55","5","GO Biological Process","","Long-chain fatty acid transport","9.4E-4","ABCD1|ACE|ABCD4|ACSL3|ACSL1","85041","85151|85298|85259|85319|85355","6.24E-6","","GO:0015909","0.3026872146400301","0"
"12838","74","GO Molecular Function","","Binding","9.4E-4","ABCC6|ABCD1|ACP5|ABCF2|ACTA2|ACOT13|ACADL|ACKR4|ACTN4|ACSBG1|ABCC9|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ABHD2|ABCA12|ABT1|ABLIM1|AASDHPPT|ACAD8|ABCA6|ACAA2|ABCC3|ACE|ACOX1|ABCE1|ABCB8|ABCA3|ACHE|ABCF1|A2M|AACS|ACSM5|ACSL4|ACVR2B|ACACB|ACOX3|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ACTR1A|ABCA4|ACOT11|ABCC10|ABCA1|ACOT7|ACTR2|ACVRL1|ACY1|AAK1|ACTG2|ACE2|ACTL6A|AARSD1|AAMP|AASS|ACVR1|ACSL1|ABLIM3|ABCB9|ACVR1B|ACSS3|ACTG1|ACLY|ABCA8|AATF|ABCB1|ACTB|ABCG2|ACSL6","85041","85193|85151|85301|85379|85130|85286|85289|85139|85160|85367|85166|85226|85223|85364|85169|85376|85250|85208|85148|85265|85358|85157|85325|85214|85307|85298|85220|85268|85274|85241|85154|85343|85370|85304|85295|85385|85175|85229|85349|85259|85319|85196|85373|85205|85382|85328|85163|85340|85334|85178|85316|85322|85235|85277|85256|85271|85238|85187|85172|85217|85184|85355|85331|85142|85211|85247|85202|85253|85313|85190|85352|85346|85280|85232","1.24E-5","","GO:0005488","0.3026872146400301","0"
"8","3","GO Molecular Function","","Acid phosphatase activity","9.5E-4","ACP5|ACP1|ACP6","85041","85301|85145|85199","1.28E-5","","GO:0003993","0.30222763947111525","0"
"8","3","GO Molecular Function","","ABC-type glutathione S-conjugate transporter activity","9.5E-4","ABCC6|ABCC3|ABCC10","85041","85193|85307|85340","1.28E-5","","GO:0015431","0.30222763947111525","0"
"8","3","GO Molecular Function","","ATPase-coupled lipid transmembrane transporter activity","9.5E-4","ABCA12|ABCC3|ABCG1","85041","85208|85307|85196","1.28E-5","","GO:0034040","0.30222763947111525","0"
"32","4","UniProt Keywords","","Oxidation","9.9E-4","ACTA2|ACTG2|ACTG1|ACTB","85041","85130|85256|85202|85346","1.76E-5","","KW-0558","0.30043648054024497","0"
"3362","31","UniProt Keywords","","Acetylation","0.001","ABCF2|ACTA2|ACOT13|ACADL|ACOT2|ACTN4|AARS1|ACTR3|ACAT1|ACP1|ABT1|ACAD8|ACAA2|ACOX1|ACSM5|ACOX3|ACTR1A|ACOT7|ACTR2|AAK1|ACTG2|ACTL6A|AASS|ACSL1|ABLIM3|ACSS3|ACTG1|ACLY|AATF|ACTB|ABHD5","85041","85379|85130|85286|85289|85310|85160|85226|85223|85376|85145|85148|85157|85214|85220|85295|85349|85382|85178|85316|85277|85256|85238|85217|85355|85331|85247|85202|85253|85190|85346|85283","1.99E-5","","KW-0007","0.3","0"
"473","11","COMPARTMENTS","","Extracellular membrane-bounded organelle","0.0011","ACTA2|ACTN4|ABCB6|ACE|A2M|ACSL4|ACY1|ACE2|ACTG1|ABCB1|ACTB","85041","85130|85160|85364|85298|85370|85385|85235|85271|85202|85352|85346","7.85E-6","","GOCC:0065010","0.2958607314841775","0"
"41","4","KEGG Pathways","","Ferroptosis","0.0011","ACSL4|ACSL3|ACSL1|ACSL6","85041","85385|85319|85355|85232","4.33E-5","","hsa04216","0.2958607314841775","0"
"1957","23","GO Biological Process","","Organic substance transport","0.0012","ABCC6|ABCD1|ACTN4|ABCB6|ABCB4|ABCA12|ABCA6|ABCC3|ACE|ABCA3|ACVR2B|ABCD4|ACSL3|ABCG1|ABCA4|ABCC10|ABCA1|ACE2|ACSL1|ABCB9|ABCA8|ABCB1|ABCG2","85041","85193|85151|85160|85364|85169|85208|85325|85307|85298|85241|85175|85259|85319|85196|85328|85340|85334|85271|85355|85142|85313|85352|85280","8.3E-6","","GO:0071702","0.29208187539523756","0"
"6","3","GO Cellular Component","","ATP-binding cassette (ABC) transporter complex","0.0012","ABCB6|ABCB8|ABCD4","85041","85364|85274|85259","6.54E-6","","GO:0043190","0.29208187539523756","0"
"2096","24","GO Cellular Component","","Extracellular exosome","0.0012","ACTA2|ACTN4|AARS1|ACTR3|ABCB6|ABCB4|ACAT1|ACP1|AASDHPPT|ACE|A2M|ACSL4|ACTN2|ACTR1A|ACOT11|ACOT7|ACTR2|ACY1|ACTG2|ACE2|ACTG1|ACLY|ABCB1|ACTB","85041","85130|85160|85226|85223|85364|85169|85376|85145|85358|85298|85370|85385|85373|85382|85163|85178|85316|85235|85256|85271|85202|85253|85352|85346","7.71E-6","","GO:0070062","0.29208187539523756","0"
"6015","46","GO Cellular Component","","Cell periphery","0.0012","ABCC6|ACKR4|ABHD17A|ACTN4|ACSBG1|ABCC9|ABCB6|ABCB4|ABHD2|ACP1|ABCA12|ABCA6|ABCC3|ACE|ABHD6|ABCB8|ABCA3|ACHE|A2M|ACSL4|ACVR2B|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ACTR1A|ABCA4|ABCC10|ABCA1|ACTR2|ACVRL1|AAK1|ACTG2|ACE2|ACTL6A|AAMP|ACVR1|ACSL1|ACVR1B|ACTG1|ABCA8|ABCB1|ACTB|ABCG2|ACSL6","85041","85193|85139|85292|85160|85367|85166|85364|85169|85250|85145|85208|85325|85307|85298|85262|85274|85241|85154|85370|85385|85175|85259|85319|85196|85373|85205|85382|85328|85340|85334|85316|85322|85277|85256|85271|85238|85172|85184|85355|85211|85202|85313|85352|85346|85280|85232","8.35E-6","","GO:0071944","0.29208187539523756","0"
"25","4","GO Cellular Component","","ATPase dependent transmembrane transport complex","0.0012","ABCC9|ABCB6|ABCB8|ABCD4","85041","85166|85364|85274|85259","7.27E-6","","GO:0098533","0.29208187539523756","0"
"1027","16","COMPARTMENTS","","Extracellular space","0.0013","ACTN4|ABCB6|ACE|A2M|ACVR2B|ABCG1|ABCA1|ACY1|ACTG2|ACE2|ACVR1|ACVR1B|ACTG1|ACLY|ABCB1|ACTB","85041","85160|85364|85298|85370|85175|85196|85334|85235|85256|85271|85184|85211|85202|85253|85352|85346","9.4E-6","","GOCC:0005615","0.2886056647693163","0"
"7","3","COMPARTMENTS","","Activin receptor complex","0.0013","ACVR2B|ACVR1|ACVR1B","85041","85175|85184|85211","9.31E-6","","GOCC:0048179","0.2886056647693163","0"
"1406","19","GO Biological Process","","Homeostatic process","0.0013","ABCC6|ABCD1|ACP5|ACADL|ABCB6|ABCB4|ABCA12|ACE|ACOX1|ABCB8|ABCA3|ACACB|ACOX3|ABCG1|ABCA4|ABCA1|ACTG1|ACTB|ABHD5","85041","85193|85151|85301|85289|85364|85169|85208|85298|85220|85274|85241|85229|85349|85196|85328|85334|85202|85346|85283","9.04E-6","","GO:0042592","0.2886056647693163","0"
"7","3","GO Cellular Component","","Activin receptor complex","0.0013","ACVR2B|ACVR1|ACVR1B","85041","85175|85184|85211","9.31E-6","","GO:0048179","0.2886056647693163","0"
"5","3","InterPro Domains","","Thiolase","0.0013","ACAT1|ACAA2|ACAA1","85041","85376|85214|85133","4.37E-6","","IPR002155","0.2886056647693163","0"
"5","3","InterPro Domains","","Thiolase, active site","0.0013","ACAT1|ACAA2|ACAA1","85041","85376|85214|85133","4.37E-6","","IPR020610","0.2886056647693163","0"
"5","3","InterPro Domains","","Thiolase, acyl-enzyme intermediate active site","0.0013","ACAT1|ACAA2|ACAA1","85041","85376|85214|85133","4.37E-6","","IPR020615","0.2886056647693163","0"
"27","4","GO Biological Process","","Cholesterol efflux","0.0014","ABCA12|ABCG1|ABCA1|ABCA8","85041","85208|85196|85334|85313","9.57E-6","","GO:0033344","0.2853871964321762","0"
"7","3","GO Biological Process","","Very long-chain fatty acid catabolic process","0.0014","ABCD1|ACOX1|ABCD4","85041","85151|85220|85259","9.31E-6","","GO:0042760","0.2853871964321762","0"
"7","3","GO Biological Process","","Leukotriene transport","0.0014","ABCC6|ABCC3|ABCC10","85041","85193|85307|85340","9.31E-6","","GO:0071716","0.2853871964321762","0"
"23","4","InterPro Domains","","AMP-binding enzyme, C-terminal domain superfamily","0.0014","AACS|ACSM5|ACSL4|ACSS3","85041","85304|85295|85385|85247","5.41E-6","","IPR045851","0.2853871964321762","0"
"3785","34","GO Biological Process","","Transport","0.0015","ABCC6|ABCD1|ACKR4|ACTN4|ABCC9|ABCB6|ABCB4|ABCA12|ABCA6|ACAA2|ABCC3|ACE|ABCE1|ABCB8|ABCA3|ACHE|ACVR2B|ABCD4|ACSL3|ABCG1|ACTR1A|ABCA4|ABCC10|ABCA1|ACTR2|AAK1|ACE2|ACSL1|ABCB9|ACTG1|ABCA8|ABCB1|ACTB|ABCG2","85041","85193|85151|85139|85160|85166|85364|85169|85208|85325|85214|85307|85298|85268|85274|85241|85154|85175|85259|85319|85196|85382|85328|85340|85334|85316|85277|85271|85355|85142|85202|85313|85352|85346|85280","1.09E-5","","GO:0006810","0.28239087409443187","0"
"132","6","UniProt Keywords","","Microsome","0.0015","AADAC|ACSBG1|ACSL4|ACSL3|ACSL1|ACSL6","85041","85181|85367|85385|85319|85355|85232","3.07E-5","","KW-0492","0.28239087409443187","0"
"500","11","COMPARTMENTS","","Extracellular vesicle","0.0016","ACTA2|ACTN4|ABCB6|ACE|A2M|ACSL4|ACY1|ACE2|ACTG1|ABCB1|ACTB","85041","85130|85160|85364|85298|85370|85385|85235|85271|85202|85352|85346","1.3E-5","","GOCC:1903561","0.2795880017344075","0"
"38","4","WikiPathways","","Striated muscle contraction pathway","0.0016","ACTA2|ACTN4|ACTN2|ACTG1","85041","85130|85160|85373|85202","3.28E-5","","WP383","0.2795880017344075","0"
"29","4","GO Biological Process","","acetyl-CoA metabolic process","0.0017","ACAT1|ACACB|AASS|ACLY","85041","85376|85229|85217|85253","1.24E-5","","GO:0006084","0.2769551078621726","0"
"226","7","KEGG Pathways","","Thermogenesis","0.0017","ACSL4|ACSL3|ACTL6A|ACSL1|ACTG1|ACTB|ACSL6","85041","85385|85319|85238|85355|85202|85346|85232","7.0E-5","","hsa04714","0.2769551078621726","0"
"6","3","InterPro Domains","","Thiolase, conserved site","0.0017","ACAT1|ACAA2|ACAA1","85041","85376|85214|85133","6.54E-6","","IPR020613","0.2769551078621726","0"
"6","3","InterPro Domains","","Thiolase, N-terminal","0.0017","ACAT1|ACAA2|ACAA1","85041","85376|85214|85133","6.54E-6","","IPR020616","0.2769551078621726","0"
"6","3","InterPro Domains","","Thiolase, C-terminal","0.0017","ACAT1|ACAA2|ACAA1","85041","85376|85214|85133","6.54E-6","","IPR020617","0.2769551078621726","0"
"3156","30","COMPARTMENTS","","Endomembrane system","0.0018","ABCD1|AADAC|ABHD17A|ACTN4|ACSBG1|ABCB6|ABCA12|ABCA6|ACE|ABHD6|ABCA3|ABCF1|A2M|ACAA1|ACSL4|ABCD4|ACSL3|ABCG1|ACTN2|ACKR1|ABCA4|ABCA1|ACTR2|AAK1|ACE2|ACSL1|ABCB9|ACLY|ABCA8|ACSL6","85041","85151|85181|85292|85160|85367|85364|85208|85325|85298|85262|85241|85343|85370|85133|85385|85259|85319|85196|85373|85205|85328|85334|85316|85277|85271|85355|85142|85253|85313|85232","1.6E-5","","GOCC:0012505","0.2744727494896694","0"
"4010","35","GO Biological Process","","Response to chemical","0.002","ABCC6|ACP5|AADAC|ACKR4|ACTN4|ACSBG1|ABCC9|ACTR3|ABCB6|ABCB4|ACAT1|ABHD2|ACAA2|ABCC3|ACE|ABCA3|ACHE|A2M|ACAA1|ACVR2B|ACACB|ABCD4|ABCG1|ACTN2|ACKR1|ABCA1|ACTR2|ACVRL1|ACVR1|ACSL1|ACVR1B|ACTG1|ABCB1|ACTB|ABCG2","85041","85193|85301|85181|85139|85160|85367|85166|85223|85364|85169|85376|85250|85214|85307|85298|85241|85154|85370|85133|85175|85229|85259|85196|85373|85205|85334|85316|85322|85184|85355|85211|85202|85352|85346|85280","1.43E-5","","GO:0042221","0.2698970004336019","0"
"29","4","Reactome Pathways","","Peroxisomal lipid metabolism","0.002","ABCD1|ACOX1|ACAA1|ACOX3","85041","85151|85220|85133|85349","1.24E-5","","HSA-390918","0.2698970004336019","0"
"8","3","Reactome Pathways","","Synthesis of Ketone Bodies","0.002","ACAT1|AACS|ACSS3","85041","85376|85304|85247","1.28E-5","","HSA-77111","0.2698970004336019","0"
"6","3","STRING Clusters","","myristoyl-CoA hydrolase activity","0.002","ACOT2|ACOT1|ACOT7","85041","85310|85337|85178","6.54E-6","","CL:15418","0.2698970004336019","0"
"6","3","STRING Clusters","","Very long-chain fatty acid catabolic process, and Ovarian follicle atresia","0.002","ABCD1|ACSBG1|ACSL1","85041","85151|85367|85355","6.54E-6","","CL:8899","0.2698970004336019","0"
"7","3","InterPro Domains","","GS domain","0.0022","ACVRL1|ACVR1|ACVR1B","85041","85322|85184|85211","9.31E-6","","IPR003605","0.2657577319177794","0"
"7","3","InterPro Domains","","Thioesterase domain","0.0022","ACOT13|ACOT11|ACOT7","85041","85286|85163|85178","9.31E-6","","IPR006683","0.2657577319177794","0"
"9","3","GO Biological Process","","Cellular ketone body metabolic process","0.0023","ACAT1|AACS|ACSS3","85041","85376|85304|85247","1.7E-5","","GO:0046950","0.2638272163982407","0"
"1338","18","GO Biological Process","","Organonitrogen compound biosynthetic process","0.0023","ACSBG1|AARS1|ABCB6|ACAT1|AASDHPPT|ABCE1|ABCF1|ACSL4|ACACB|ACSL3|ABCA1|ACOT7|AARSD1|AASS|ACSL1|ACLY|ABCA8|ACSL6","85041","85367|85226|85364|85376|85358|85268|85343|85385|85229|85319|85334|85178|85187|85217|85355|85253|85313|85232","1.73E-5","","GO:1901566","0.2638272163982407","0"
"7","3","SMART Domains","","GS motif","0.0025","ACVRL1|ACVR1|ACVR1B","85041","85322|85184|85211","9.31E-6","","SM00467","0.26020599913279624","0"
"7","3","STRING Clusters","","Mitochondrial trifunctional protein deficiency, and Mitochondrial beta-oxidation","0.0025","ACADL|ACAA2|ACOX3","85041","85289|85214|85349","9.31E-6","","CL:8753","0.26020599913279624","0"
"7004","51","TISSUES","","Gland","0.0026","ABCC6|ABCD1|ACTA2|ACOT13|AADAC|ACADL|ACTN4|ACSBG1|AARS1|ACTR3|ABCB4|ACAT1|ABHD2|ABCA12|ABLIM1|AASDHPPT|ABCA6|ACAA2|ABCC3|ACE|ACOX1|ABCB8|ABCF1|A2M|AACS|ACSM5|ACAA1|ACSL4|ACACB|ACOX3|ACSL3|ACTR1A|ACOT11|ABCA1|ACTR2|ACY1|ACTG2|ACE2|ACTL6A|AAMP|AASS|ACSL1|ACVR1B|ACSS3|ACTG1|ACLY|ABCA8|AATF|ACTB|ABCG2|ACSL6","85041","85193|85151|85130|85286|85181|85289|85160|85367|85226|85223|85169|85376|85250|85208|85265|85358|85325|85214|85307|85298|85220|85274|85343|85370|85304|85295|85133|85385|85229|85349|85319|85382|85163|85334|85316|85235|85256|85271|85238|85172|85217|85355|85211|85247|85202|85253|85313|85190|85346|85280|85232","6.51E-6","","BTO:0000522","0.2585026652029182","0"
"2692","27","GO Biological Process","","Response to organic substance","0.0027","ACP5|ACKR4|ACTN4|ACSBG1|ABCC9|ACTR3|ABCB4|ACAT1|ABHD2|ACE|ABCA3|ACHE|A2M|ACVR2B|ACACB|ABCD4|ABCG1|ACTN2|ACKR1|ABCA1|ACTR2|ACVRL1|ACVR1|ACSL1|ACVR1B|ACTG1|ACTB","85041","85301|85139|85160|85367|85166|85223|85169|85376|85250|85298|85241|85154|85370|85175|85229|85259|85196|85373|85205|85334|85316|85322|85184|85355|85211|85202|85346","1.98E-5","","GO:0010033","0.25686362358410125","0"
"45","4","WikiPathways","","Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms","0.0028","ACTA2|ACTG2|ACTG1|ACTB","85041","85130|85256|85202|85346","6.07E-5","","WP4534","0.2552841968657781","0"
"10","3","GO Biological Process","","Ketone body metabolic process","0.0029","ACAT1|AACS|ACSS3","85041","85376|85304|85247","2.2E-5","","GO:1902224","0.25376020021010437","0"
"6","3","Pfam","","Thiolase, C-terminal domain","0.003","ACAT1|ACAA2|ACAA1","85041","85376|85214|85133","6.54E-6","","PF02803","0.25228787452803375","0"
"6","3","Pfam","","Thioesterase superfamily","0.003","ACOT13|ACOT11|ACOT7","85041","85286|85163|85178","6.54E-6","","PF03061","0.25228787452803375","0"
"346","9","GO Biological Process","","Regulation of lipid metabolic process","0.0031","ABCD1|AADAC|ACADL|ABHD6|ABCA3|ACACB|ACSL3|ABCG1|ABHD5","85041","85151|85181|85289|85262|85241|85229|85319|85196|85283","2.38E-5","","GO:0019216","0.25086383061657275","0"
"2125","23","COMPARTMENTS","","Vesicle","0.0033","ACTA2|ABHD17A|ACTN4|ABCB6|ABCA12|ACE|ABHD6|ABCA3|A2M|ACAA1|ACSL4|ACTN2|ACKR1|ABCA4|ABCA1|ACTR2|ACY1|AAK1|ACE2|ACTG1|ACLY|ABCB1|ACTB","85041","85130|85292|85160|85364|85208|85298|85262|85241|85370|85133|85385|85373|85205|85328|85334|85316|85235|85277|85271|85202|85253|85352|85346","3.11E-5","","GOCC:0031982","0.24814860601221125","0"
"12","3","COMPARTMENTS","","Activin complex","0.0035","ACVR2B|ACVR1|ACVR1B","85041","85175|85184|85211","3.47E-5","","GOCC:0048180","0.24559319556497244","0"
"11","3","GO Biological Process","","Ribonucleoside bisphosphate catabolic process","0.0036","ABCD1|ACAT1|ACOT7","85041","85151|85376|85178","2.79E-5","","GO:0034031","0.24436974992327126","0"
